Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-02-02 18:00:56,false,"Quan Cam Le Running","10.94","688","01:09:40","158","176","169","180","6:22","5:33","22","22","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:09:40.44.5","1","0.0","--","--","--","--","--","--","--","01:09:10","01:13:48","-1","10"
Running,2023-01-31 05:57:08,false,"Quan Cam Le Running","10.37","638","01:11:26","149","163","167","227","6:53","5:52","40","29","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:11:25.72.7","1","0.0","--","--","--","--","--","--","--","01:11:25","01:14:08","-2","10"
Running,2023-01-30 19:09:03,false,"Quan Cam Le Running","0.31","19","00:02:09.8","130","147","161","175","7:00","6:15","7","6","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:09.79.6","1","0.0","--","--","--","--","--","--","--","00:02:05","00:02:09.8","2","9"
Running,2023-01-30 06:25:36,false,"Quan Cam Le Running","5.08","308","00:32:01","152","162","169","180","6:19","0:17","12","17","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:01.24.9","1","0.0","--","--","--","--","--","--","--","00:31:36","00:39:00","-0","10"
Running,2023-01-29 07:06:48,false,"Quan Cam Le Running","5.17","321","00:32:33","151","162","171","176","6:18","5:27","15","17","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:32.55.2","1","0.0","--","--","--","--","--","--","--","00:32:33","00:32:33","-2","9"
Running,2023-01-23 06:12:02,false,"Huyen Krong Buk Running","3.04","214","00:23:26","146","170","155","205","7:42","6:13","88","86","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","23:25.64.9","1","0.0","--","--","--","--","--","--","--","00:23:12","00:23:31","694","749"
Running,2023-01-18 17:45:42,false,"Quan Son Tra Running","5.55","333","00:31:26","154","166","175","183","5:40","4:59","9","8","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:26.16.3","1","0.0","--","--","--","--","--","--","--","00:31:26","00:31:26","3","10"
Running,2023-01-17 18:17:23,false,"Quan Son Tra - W04D2-Intervals","10.36","606","00:59:05","153","173","173","184","5:42","4:29","12","14","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","8","0.0","--","--","--","--","--","--","--","00:59:05","00:59:05","3","9"
Running,2023-01-16 18:15:14,false,"Quan Son Tra Running","10.09","597","00:59:48","148","154","176","184","5:56","5:10","10","10","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","59:48.06.6","1","0.0","--","--","--","--","--","--","--","00:59:48","00:59:48","6","11"
Running,2023-01-15 16:20:11,false,"Quan Son Tra Running","21.23","1,306","02:14:06","157","171","171","246","6:19","5:19","61","67","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:14:06.43.1","1","0.0","--","--","--","--","--","--","--","02:13:56","02:14:21","--","15"
